dataset,variable,label
NFHS-5 Household,sh61,does this household own this house or any other house?
NFHS-5 Household,sh62,who owns the house?
NFHS-5 Household,sh64,who owns this agricultural land?
NFHS-5 Household,sh66,"out of this land, how much is irrigated?"
NFHS-5 Household,sh67a,cows / bulls / buffaloes / yaks
NFHS-5 Household,sh67b,camels
NFHS-5 Household,sh67c,horses / donkeys / mules
NFHS-5 Household,sh67d,goats or sheep
NFHS-5 Household,sh67e,pigs
NFHS-5 Household,sh67f,chickens / ducks
NFHS-5 Household,sh69,does this household share any sleeping room with this(these) animal(s)?
NFHS-5 Household,sh71,is any usual member of this household covered by a health scheme or health insur
NFHS-5 Household,sh72a,health insurance or scheme: employees state insurance scheme
NFHS-5 Household,sh72b,health insurance or scheme: central government health scheme
NFHS-5 Household,sh72c,health insurance or scheme: state health insurance scheme
NFHS-5 Household,sh72d,health insurance or scheme: rashtriya swasthya bima yojana
NFHS-5 Household,sh72e,health insurance or scheme: community health insurance programme
NFHS-5 Household,sh72f,health insurance or scheme: other health insurance through employer
NFHS-5 Household,sh72g,health insurance or scheme: medical reimbersement from employer
NFHS-5 Household,sh72h,health insurance or scheme: other privately purchased commercial health insuranc
NFHS-5 Household,sh72x,health insurance or scheme: other
NFHS-5 Household,sh73,"when members of your household get sick, where do they generally go for treatmen"
NFHS-5 Household,sh74a,reason not going to a government facility for sickness: no nearby facility
NFHS-5 Household,sh74b,reason not going to a government facility for sickness: facility timing not conv
NFHS-5 Household,sh74c,reason not going to a government facility for sickness: heatlh personnel often a
NFHS-5 Household,sh74d,reason not going to a government facility for sickness: waiting time too long
NFHS-5 Household,sh74e,reason not going to a government facility for sickness: poor quality of care
NFHS-5 Household,sh74x,reason not going to a government facility for sickness: other
NFHS-5 Household,sh75,does this household have a bpl card?
NFHS-5 Household,sh87,did any usual member of this household die since january 2011?
NFHS-5 Household,sh88,total number of deaths
NFHS-5 Household,shnfhs2,house type (as defined in nfhs-2 and 3)
NFHS-5 Household,shstruc,household structure
NFHS-5 Household,sv270s,wealth index within state
NFHS-5 Household,sv271s,wealth index factor score within state (5 decimals)
NFHS-5 Household,sv270us,wealth index - urban within state
NFHS-5 Household,sv271us,wealth index factor score (5 decimals) - urban
NFHS-5 Household,sv270rs,wealth index - rural within state
NFHS-5 Household,sv271rs,wealth index factor score (5 decimals) - rural
NFHS-5 Household,shcrefuse,questionnaire refusal due to covid-19
NFHS-5 Household,hvidx_01,line number
NFHS-5 Household,hvidx_02,line number
NFHS-5 Household,hvidx_03,line number
NFHS-5 Household,hvidx_04,line number
NFHS-5 Household,hvidx_05,line number
NFHS-5 Household,hvidx_06,line number
NFHS-5 Household,hvidx_07,line number
NFHS-5 Household,hvidx_08,line number
NFHS-5 Household,hvidx_09,line number
NFHS-5 Household,hvidx_10,line number
NFHS-5 Household,hvidx_11,line number
NFHS-5 Household,hvidx_12,line number
NFHS-5 Household,hvidx_13,line number
NFHS-5 Household,hvidx_14,line number
NFHS-5 Household,hvidx_15,line number
NFHS-5 Household,hvidx_16,line number
NFHS-5 Household,hvidx_17,line number
NFHS-5 Household,hvidx_18,line number
NFHS-5 Household,hvidx_19,line number
NFHS-5 Household,hvidx_20,line number
NFHS-5 Household,hvidx_21,line number
NFHS-5 Household,hvidx_22,line number
NFHS-5 Household,hvidx_23,line number
NFHS-5 Household,hvidx_24,line number
NFHS-5 Household,hvidx_25,line number
NFHS-5 Household,hvidx_26,line number
NFHS-5 Household,hvidx_27,line number
NFHS-5 Household,hvidx_28,line number
NFHS-5 Household,hvidx_29,line number
NFHS-5 Household,hvidx_30,line number
NFHS-5 Household,hvidx_31,line number
NFHS-5 Household,hvidx_32,line number
NFHS-5 Household,hvidx_33,line number
NFHS-5 Household,hvidx_34,line number
NFHS-5 Household,hvidx_35,line number
NFHS-5 Household,hv101_01,relationship to head
NFHS-5 Household,hv101_02,relationship to head
NFHS-5 Household,hv101_03,relationship to head
NFHS-5 Household,hv101_04,relationship to head
NFHS-5 Household,hv101_05,relationship to head
NFHS-5 Household,hv101_06,relationship to head
NFHS-5 Household,hv101_07,relationship to head
NFHS-5 Household,hv101_08,relationship to head
NFHS-5 Household,hv101_09,relationship to head
NFHS-5 Household,hv101_10,relationship to head
NFHS-5 Household,hv101_11,relationship to head
NFHS-5 Household,hv101_12,relationship to head
