state_canon,round,bank_account_use,mobile_use,decisions,child_marriage,literacy,pop_2011,deposits_cr_2013,offices_2013,deposits_cr_2016,offices_2020,deposits_cr_2020,deposits_pc,log_deposits_pc,branch_density,log_branch,deposits_pc_std,log_deposits_pc_std,branch_density_std,log_branch_std,t,state_code
LAKSHADWEEP,NFHS-5,66.9,84.03,92.2,1.32,96.5,64473.0,670.2,12.0,754.8396,26.0,2229.3428,345779.2874536628,12.753555952963898,40.32695857180525,3.6970201924983948,0.7398417428010582,1.2652049537722017,1.373971374847329,1.4216784786603842,2,20
MADHYA PRADESH,NFHS-3,8.9,,68.5,53.0,44.4,72626809.0,219110.4,5223.0,282590.4752,14104.0,797588.4804,30169.355230793633,10.314581960721346,7.1915592491472395,1.9729080118024271,-0.6001255832901303,-1.266694342567125,-0.8277686385124815,-1.1607163541350167,0,21
MADHYA PRADESH,NFHS-4,37.3,28.7,82.8,30.0,59.4,72626809.0,219110.4,5223.0,282590.4752,14104.0,797588.4804,38909.9396064613,10.569005013843272,7.1915592491472395,1.9729080118024271,-0.56301617614363,-1.002577729917389,-0.8277686385124815,-1.1607163541350167,1,21
MADHYA PRADESH,NFHS-5,74.68,38.52,86.04,23.11,68.85,72626809.0,219110.4,5223.0,282590.4752,14104.0,797588.4804,109820.11895910228,11.606599024051201,19.419826086535068,2.9662945074438345,-0.2619568186304193,0.07454878011802286,-0.015239894622942165,0.32718923694871854,2,21
MAHARASHTRA,NFHS-3,20.3,,84.9,39.0,70.3,112374333.0,1852460.2,10343.0,2181768.9924,26228.0,5509936.3392,164847.26988323926,12.0127746871449,9.204059079932426,2.2196445910934597,-0.028331140988043523,0.4961998017558223,-0.6940445399684307,-0.7911514995061433,0,22
MAHARASHTRA,NFHS-4,45.3,45.6,89.3,25.1,80.3,112374333.0,1852460.2,10343.0,2181768.9924,26228.0,5509936.3392,194151.89698167107,12.17639610581345,9.204059079932426,2.2196445910934597,0.09608586496174498,0.6660552229741675,-0.6940445399684307,-0.7911514995061433,1,22
MAHARASTRA,NFHS-5,72.81,54.8,89.82,21.89,84.58,,,,,,,,,,,,,,,2,23
MANIPUR,NFHS-3,8.0,,94.4,12.7,72.6,2855794.0,4343.3,123.0,6036.0538,398.0,20489.8593,15208.730041452569,9.629624886793907,4.307033350444745,1.4602493493539852,-0.6636430676431186,-1.9777483919401369,-1.0194360461964187,-1.928582329283019,0,24
MANIPUR,NFHS-4,34.8,63.1,96.2,13.1,85.0,2855794.0,4343.3,123.0,6036.0538,398.0,20489.8593,21136.166684291653,9.958740913005217,4.307033350444745,1.4602493493539852,-0.6384772834964039,-1.6360929918297693,-1.0194360461964187,-1.928582329283019,1,24
MANIPUR,NFHS-5,74.03,72.23,94.77,16.32,87.62,2855794.0,4343.3,123.0,6036.0538,398.0,20489.8593,71748.3799601792,11.180920554414753,13.93657945916267,2.6345169992660056,-0.4235958581458305,-0.36734810815028884,-0.379583881699951,-0.16975088814819075,2,24
MEGHALAYA,NFHS-3,16.9,,90.4,24.5,69.5,2966889.0,13547.300000000001,267.0,18168.2455,712.0,46920.1829,45661.63412247645,10.729013708371903,8.999325556163376,2.1971496363241423,-0.534350886735625,-0.8364726782137761,-0.7076484198242028,-0.8248446985976329,0,25
MEGHALAYA,NFHS-4,54.4,64.3,91.4,16.5,82.8,2966889.0,13547.300000000001,267.0,18168.2455,712.0,46920.1829,61236.68765498136,11.022501760375787,8.999325556163376,2.1971496363241423,-0.46822475854730095,-0.5318026838980947,-0.7076484198242028,-0.8248446985976329,1,25
MEGHALAYA,NFHS-5,70.44,67.45,92.25,16.89,88.17,2966889.0,13547.300000000001,267.0,18168.2455,712.0,46920.1829,158146.0678171647,11.971274364796265,23.99820148310233,3.1779788893358685,-0.056782057443150034,0.45311831040471956,0.2889783285723116,0.6442525116602348,2,25
MIZORAM,NFHS-3,8.1,,97.2,20.6,94.0,1097206.0,4379.599999999999,125.0,5913.2292,402.0,22626.416100000002,39915.931921626376,10.594530819461772,11.392573500327194,2.432961695776712,-0.5587450911903588,-0.9760793869709149,-0.5486248417696167,-0.47164271402877456,0,26
MIZORAM,NFHS-4,57.4,77.3,96.0,10.8,93.5,1097206.0,4379.599999999999,125.0,5913.2292,402.0,22626.416100000002,53893.51862822478,10.894765501581825,11.392573500327194,2.432961695776712,-0.49940123799621244,-0.6644057148390206,-0.5486248417696167,-0.47164271402877456,1,26
MIZORAM,NFHS-5,80.7,82.25,98.84,7.95,94.35,1097206.0,4379.599999999999,125.0,5913.2292,402.0,22626.416100000002,206218.4867745893,12.236691501127202,36.638516377052255,3.601100047093432,0.14731630611414254,0.7286478826142244,1.1288863318673519,1.2780081939607137,2,26
NAGALAND,NFHS-3,7.4,,96.9,21.4,75.2,1978502.0,6065.5,131.0,7728.3955,340.0,23858.0969,30657.032441716005,10.33061735849537,6.621170966721287,1.8902722374974565,-0.5980550796031493,-1.250047993540975,-0.8656690933203415,-1.2844891567162624,0,27
NAGALAND,NFHS-4,38.9,70.5,97.4,13.3,81.0,1978502.0,6065.5,131.0,7728.3955,340.0,23858.0969,39061.853361785834,10.572901652403457,6.621170966721287,1.8902722374974565,-0.5623712044626533,-0.9985326287969993,-0.8656690933203415,-1.2844891567162624,1,27
NAGALAND,NFHS-5,63.68,82.46,99.22,5.6,85.8,1978502.0,6065.5,131.0,7728.3955,340.0,23858.0969,120586.67062252149,11.700124031648762,17.18471853958197,2.844020531906512,-0.21624587619573413,0.17163710565144527,-0.1637555552422503,0.14404588575130947,2,27
ODISHA,NFHS-3,9.8,,80.3,37.2,52.2,41974218.0,158976.0,3666.0,209214.9993,10232.0,677696.1247,37874.67821318315,10.542038046754012,8.733932815615528,2.1672157627525297,-0.5674115271745245,-1.0305721428200556,-0.7252829082584451,-0.8696799948749778,0,28
ODISHA,NFHS-4,56.2,39.2,81.8,21.3,67.4,41974218.0,158976.0,3666.0,209214.9993,10232.0,677696.1247,49843.6919777755,10.81664722731843,8.733932815615528,2.1672157627525297,-0.5165953590738195,-0.7455003080031204,-0.7252829082584451,-0.8696799948749778,1,28
ODISHA,NFHS-5,86.5,50.05,90.24,20.49,71.92,41974218.0,158976.0,3666.0,209214.9993,10232.0,677696.1247,161455.33067465367,11.991983793136887,24.376868676862543,3.193634677611558,-0.04273210638092846,0.47461677131901514,0.31413953771091485,0.6677019293948505,2,28
PUDUCHERRY,NFHS-3,,,,,,1247953.0,9084.5,186.0,12676.2542,524.0,39675.472,72795.2094349707,11.19540542755488,14.90440745765265,2.701656971737495,-0.419151393162329,-0.35231135899769506,-0.3152748444200468,-0.06918787378887473,0,29
PUDUCHERRY,NFHS-4,68.2,67.3,85.1,10.7,85.0,1247953.0,9084.5,186.0,12676.2542,524.0,39675.472,101576.3750718176,11.528566258266808,14.90440745765265,2.701656971737495,-0.29695681807855145,-0.006457046680177434,-0.3152748444200468,-0.06918787378887473,1,29
PUDUCHERRY,NFHS-5,92.62,82.85,97.88,6.48,91.14,1247953.0,9084.5,186.0,12676.2542,524.0,39675.472,317924.4090121984,12.669568925996597,41.98876079467736,3.737401982345336,0.6215798531294517,1.1780180074757296,1.4843927526843506,1.4821627827604082,2,29
PUNJAB,NFHS-3,14.6,,87.9,19.7,68.7,27743338.0,219663.2,5044.0,290177.9983,13032.0,825728.5425,79176.91807669286,11.27944009690049,18.18094131282977,2.900373864792306,-0.3920569319572775,-0.26507495514058466,-0.09755977710415202,0.22845254866133452,0,30
PUNJAB,NFHS-4,58.8,57.2,90.2,7.6,81.4,27743338.0,219663.2,5044.0,290177.9983,13032.0,825728.5425,104593.75807626321,11.557839154609278,18.18094131282977,2.900373864792306,-0.2841460848808241,0.023931151753691482,-0.09755977710415202,0.22845254866133452,1,30
