state_name_raw,district_name_raw,state_name_match,district_name_match,reporting_offices_total,population_total_2011,_merge
TAMIL NADU,Nilgiris,TAMIL NADU,NILGIRIS,95.0,,left_only
TAMIL NADU,Tiruchirapalli,TAMIL NADU,TIRUCHIRAPALLI,324.0,,left_only
TAMIL NADU,Tirunelvali,TAMIL NADU,TIRUNELVALI,309.0,,left_only
TAMIL NADU,Toothukudi,TAMIL NADU,TOOTHUKUDI,193.0,,left_only
TAMIL NADU,Villupuram,TAMIL NADU,VILLUPURAM,223.0,,left_only
TRIPURA,Gomati,TRIPURA,GOMATI,38.0,,left_only
TRIPURA,Khowai,TRIPURA,KHOWAI,21.0,,left_only
TRIPURA,Sepahijala,TRIPURA,SEPAHIJALA,31.0,,left_only
TRIPURA,Unakoti,TRIPURA,UNAKOTI,16.0,,left_only
UTTAR PRADESH,Amethi,UTTAR PRADESH,AMETHI,153.0,,left_only
UTTAR PRADESH,Bhim Nagar,UTTAR PRADESH,BHIM NAGAR,102.0,,left_only
UTTAR PRADESH,Hathras,UTTAR PRADESH,HATHRAS,113.0,,left_only
UTTAR PRADESH,Kanauj,UTTAR PRADESH,KANAUJ,90.0,,left_only
UTTAR PRADESH,Kushi Nagar,UTTAR PRADESH,KUSHI NAGAR,159.0,,left_only
UTTAR PRADESH,Maharajganj,UTTAR PRADESH,MAHARAJGANJ,122.0,,left_only
UTTAR PRADESH,Panchsheel Nagar,UTTAR PRADESH,PANCHSHEEL NAGAR,95.0,,left_only
UTTAR PRADESH,Prabudh Nagar,UTTAR PRADESH,PRABUDH NAGAR,75.0,,left_only
UTTAR PRADESH,Rai Bareli,UTTAR PRADESH,RAI BARELI,208.0,,left_only
UTTAR PRADESH,Shravasti,UTTAR PRADESH,SHRAVASTI,68.0,,left_only
UTTAR PRADESH,Sidharthanagar,UTTAR PRADESH,SIDHARTHANAGAR,119.0,,left_only
UTTARAKHAND,Dehra Dun,UTTARAKHAND,DEHRA DUN,414.0,,left_only
UTTARAKHAND,Haridwar,UTTARAKHAND,HARIDWAR,203.0,,left_only
UTTARAKHAND,Uttar Kashi,UTTARAKHAND,UTTAR KASHI,39.0,,left_only
WEST BENGAL,North 24 Parganas,WEST BENGAL,NORTH 24 PARGANAS,694.0,,left_only
WEST BENGAL,South 24 Parganas,WEST BENGAL,SOUTH 24 PARGANAS,403.0,,left_only
