snapshot_label,snapshot_year,snapshot_month,source_file,sheet_name,row_type,region_name_raw,state_name_raw,district_name_raw,bank_group,offices,deposits_million_rs,credit_million_rs,region_name_clean,state_name_clean,district_name_clean
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Kurukshetra,new_private_banks,28.0,4351.0,3558.0,NORTHERN REGION,HARYANA,KURUKSHETRA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Mahendragarh,state_bank_of_india_and_its_associates,14.0,7329.0,1970.0,NORTHERN REGION,HARYANA,MAHENDRAGARH
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Mahendragarh,nationalised_banks,39.0,12302.0,5602.0,NORTHERN REGION,HARYANA,MAHENDRAGARH
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Mahendragarh,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,MAHENDRAGARH
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Mahendragarh,regional_rural_banks,35.0,3772.0,2978.0,NORTHERN REGION,HARYANA,MAHENDRAGARH
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Mahendragarh,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,MAHENDRAGARH
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Mahendragarh,new_private_banks,8.0,2184.0,351.0,NORTHERN REGION,HARYANA,MAHENDRAGARH
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Mewat,state_bank_of_india_and_its_associates,6.0,3151.0,739.0,NORTHERN REGION,HARYANA,MEWAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Mewat,nationalised_banks,16.0,5379.0,1705.0,NORTHERN REGION,HARYANA,MEWAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Mewat,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,MEWAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Mewat,regional_rural_banks,31.0,2865.0,3061.0,NORTHERN REGION,HARYANA,MEWAT
