rbi_state,rbi_district,census_state,census_district,population_2011,reporting_offices_dec2013,deposits_crore_dec2013,credit_crore_dec2013,deposits_crore_2015_16,accounts_thousands_2015_16,branch_density_2013,deposits_per_capita_2013_rs,credit_per_capita_2013_rs,deposits_per_capita_2015_16_rs,accounts_per_capita_2015_16
BIHAR,KAIMUR,BIHAR,KAIMUR,1626384,81.0,1861.7,983.6,2497.783,1321.1970000000001,4.9803736386978725,11446.866176745467,6047.772235831145,15357.892109120601,0.8123524333736682
BIHAR,KATIHAR,BIHAR,KATIHAR,3071029,124.0,2650.8,1035.7,3531.0006000000003,2090.076,4.037734583424643,8631.634543340359,3372.4852484297608,11497.776803800942,0.6805783989666004
BIHAR,KHAGARIA,BIHAR,KHAGARIA,1666886,69.0,1441.3,578.0,2007.1035000000002,1106.354,4.139455247689404,8646.662099267736,3467.543671252863,12041.036399609811,0.6637250537829221
BIHAR,KISHANGANJ,BIHAR,KISHANGANJ,1690400,65.0,1064.8,600.3,1563.5330999999999,1336.174,3.845243729294842,6299.100804543304,3551.2304779933743,9249.48592049219,0.7904484145764317
BIHAR,LAKHISARAI,BIHAR,LAKHISARAI,1000912,51.0,1346.0,393.4,1788.0202,807.1999999999999,5.095353038029317,13447.735665073453,3930.4154610994774,17863.910113976053,0.8064645043720126
BIHAR,MADHEPURA,BIHAR,MADHEPURA,2001762,74.0,1761.1,589.9,2304.8378999999995,1410.2269999999999,3.696743169267875,8797.749182969803,2946.903777771783,11514.045625803665,0.7044928418063685
BIHAR,MADHUBANI,BIHAR,MADHUBANI,4487379,201.0,4063.8,1054.3,5672.1579,3143.1799999999994,4.479229412091112,9056.06591286361,2349.478392620726,12640.247012788534,0.7004489703232109
BIHAR,MUNGER,BIHAR,MUNGER,1367765,91.0,3224.9,630.4,4439.3773,1426.8819999999998,6.653189692673814,23577.88070319097,4608.978881606124,32457.164059615505,1.0432216060507469
BIHAR,MUZAFFARPUR,BIHAR,MUZAFFARPUR,4801062,273.0,8713.5,2692.0,11424.632899999999,4575.789,5.686241918975426,18149.10950952102,5607.092764059285,23796.05366479333,0.9530785063804633
BIHAR,NALANDA,BIHAR,NALANDA,2877653,150.0,4273.2,1148.7,6154.5893,1832.713,5.212581225046939,14849.601393913721,3991.794702140946,21387.53108870319,0.6368776916466301
BIHAR,NAWADA,BIHAR,NAWADA,2219146,87.0,2302.3,668.8,3192.3075,1841.786,3.9204270471613856,10374.711713424895,3013.7719645304996,14385.297317076029,0.8299526033888712
BIHAR,PASCHIMI CHAMPARAN,BIHAR,PASHCHIM CHAMPARAN,3935042,152.0,2662.8,1243.0,3773.0823,2650.207,3.862728784089217,6766.890925179452,3158.797288567695,9588.416845360227,0.673488872545706
BIHAR,PATNA,BIHAR,PATNA,5838465,615.0,58817.6,14652.7,77569.38710000002,9584.575,10.53359059273285,100741.54764993882,25096.83624034742,132859.21402286392,1.6416258382982514
BIHAR,PURBI CHAMPARAN,BIHAR,PURBA CHAMPARAN,5099371,201.0,4174.2,1799.0,5630.706399999999,3532.8149999999996,3.9416626089766758,8185.715453925592,3527.886086342806,11041.962626370976,0.6927942681558176
BIHAR,PURNIA,BIHAR,PURNIA,3264619,133.0,2905.1,1547.4,4048.5829000000003,2478.981,4.073982293186433,8898.741323260081,4739.909925170441,12401.394772253669,0.7593477217402704
BIHAR,ROHTAS,BIHAR,ROHTAS,2959918,145.0,4205.3,1607.0,5814.024899999999,2521.325,4.8987843582153285,14207.488180415809,5429.2044576910575,19642.520164409958,0.8518225842742941
BIHAR,SAHARSA,BIHAR,SAHARSA,1900661,76.0,1875.6,637.5,2719.4421,1467.169,3.998608905007258,9868.145871357387,3354.096285450167,14307.875523304789,0.7719256616513939
BIHAR,SAMASTIPUR,BIHAR,SAMASTIPUR,4261566,198.0,4858.9,1653.8,6334.7629,3292.569,4.646179362234446,11401.677223818662,3880.7330450824884,14864.871035670925,0.7726195018450964
BIHAR,SARAN,BIHAR,SARAN,3951862,176.0,6189.9,1227.7,8426.3088,3773.443,4.453596810819811,15663.249374598607,3106.63682082016,21322.376135603925,0.9548519153755876
BIHAR,SHEIKHPURA,BIHAR,SHEIKHPURA,636342,35.0,821.0,250.5,1122.1523,545.184,5.500187006358216,12901.867234914558,3936.5624145506663,17634.421427471392,0.8567468436783994
BIHAR,SHEOHAR,BIHAR,SHEOHAR,656246,27.0,399.7,152.2,519.9193,417.92699999999996,4.114310791989589,6090.70379095644,2319.25223163265,7922.628099828418,0.6368450245791973
BIHAR,SITAMARHI,BIHAR,SITAMARHI,3423574,128.0,2709.3,966.2,3580.3637,2264.7999999999997,3.7387829210059427,7913.659818657345,2822.1969205280798,10457.97082230441,0.6615309030854889
BIHAR,SIWAN,BIHAR,SIWAN,3330464,163.0,5491.2,1009.0,7694.772799999999,3256.596,4.894212938497458,16487.79269194923,3029.6078864686724,23104.206500956017,0.9778205078931944
BIHAR,SUPAUL,BIHAR,SUPAUL,2229076,87.0,1766.5,652.7,2266.5228,1583.9119999999998,3.9029624831095937,7924.80830622195,2928.1190950869327,10167.992477600585,0.7105688635111588
BIHAR,VAISHALI,BIHAR,VAISHALI,3495021,168.0,4482.0,1273.2,6417.403700000001,3097.4659999999994,4.806838070500864,12823.957280943376,3642.8965662867263,18361.55977317447,0.8862510411239302
CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,1055450,341.0,50413.6,57784.2,55680.532,3883.692,32.308494007295465,477650.29134492396,547484.0115590506,527552.5320953148,3.6796551234070773
CHHATTISGARH,BASTAR,CHHATTISGARH,BASTAR,1413199,106.0,3135.6000000000004,1834.1,3336.042,1131.779,7.500712921534759,22187.957959211693,12978.356197534813,23606.31446809685,0.8008631480775178
CHHATTISGARH,BIJAPUR,CHHATTISGARH,BIJAPUR,255230,12.0,378.4,58.3,465.9574,159.24900000000002,4.701641656545077,14825.843356972142,2284.21423813815,18256.372683461974,0.6239431101359559
CHHATTISGARH,BILASPUR,CHHATTISGARH,BILASPUR,2663629,186.0,17744.3,3096.5,17209.079299999998,3127.8550000000005,6.982954457996966,66617.01010163203,11625.11746192882,64607.64355696682,1.1742832804418335
CHHATTISGARH,SUKMA,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,533638,9.0,249.4,53.5,410.1184,147.892,1.6865365659866802,4673.580217300867,1002.5522920031932,7685.329755377241,0.2771391842410023
CHHATTISGARH,DHAMTARI,CHHATTISGARH,DHAMTARI,799781,62.0,1303.9,558.2,1771.2269999999999,1091.8270000000002,7.752122143436766,16303.213004559999,6979.410613655488,22146.400077021084,1.3651574618551832
CHHATTISGARH,BALOD,CHHATTISGARH,DURG,3343872,277.0,13092.9,5574.799999999999,16614.3992,4269.906,8.283809906599295,39154.90784336242,16671.69078242229,49686.109994640945,1.2769346434313276
CHHATTISGARH,JANJGIR CHAMPA,CHHATTISGARH,JANJGIR CHAMPA,1619707,95.0,2463.0,714.9,3051.2134000000005,1705.326,5.865258346108277,15206.454006804934,4413.761254350324,18838.057747481493,1.0528607951932047
CHHATTISGARH,JASHPUR,CHHATTISGARH,JASHPUR,851669,57.0,1287.4,320.4,1577.1486,952.2570000000001,6.692740959222421,15116.201247198149,3762.0249181313397,18518.328129825084,1.1181069171239062
CHHATTISGARH,KAWARDHA,CHHATTISGARH,KABEERDHAM,822526,44.0,747.4,338.3,1030.6809,976.56,5.349374974164951,9086.642853842917,4112.939894909097,12530.678665476837,1.187269460175119
CHHATTISGARH,KORBA,CHHATTISGARH,KORBA,1206640,87.0,3638.3,1496.6,4999.3195,1457.375,7.210104090698136,30152.323808260957,12403.03653119406,41431.7402042034,1.207796028641517
CHHATTISGARH,KORIYA,CHHATTISGARH,KORIYA,658917,66.0,2022.9,433.9,2830.5690000000004,855.8109999999999,10.016436060990989,30700.376526937383,6585.047889187865,42957.89909806547,1.2988145699685998
CHHATTISGARH,MAHASAMUND,CHHATTISGARH,MAHASAMUND,1032754,66.0,1199.3,612.2,1626.6615,1191.934,6.390679677832281,11612.639602460993,5927.839543589277,15750.716046609357,1.1541315744117187
CHHATTISGARH,NARAYANPUR,CHHATTISGARH,NARAYANPUR,139820,8.0,190.7,31.5,275.9321,108.49900000000001,5.721642111285939,13638.964382777856,2252.8965813188383,19734.809040194537,0.7759905592905165
CHHATTISGARH,RAIGARH,CHHATTISGARH,RAIGARH,1493984,119.0,3521.3,2096.6,4321.5287,1782.0080000000005,7.965279413969628,23569.86420202626,14033.617495234219,28926.204698310023,1.1927892132713607
CHHATTISGARH,BALODABAZAR,CHHATTISGARH,RAIPUR,4063872,427.0,24482.199999999997,26581.199999999997,33767.7021,5117.374,10.507220699864563,60243.53129232416,65408.55617499763,83092.43524402344,1.2592360192447005
CHHATTISGARH,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,1537133,102.0,2556.9,1135.4,3224.5409,1856.892,6.635730284887514,16634.214475910674,7386.478593589494,20977.631083322,1.2080229882515046
CHHATTISGARH,BALRAMPUR,CHHATTISGARH,SURGUJA,2359886,159.0,4418.3,1201.9,5979.5866,2684.3100000000004,6.737613596588988,18722.514562144104,5093.042630025348,25338.45533216435,1.137474437324515
CHHATTISGARH,KANKER,CHHATTISGARH,UTTAR BASTAR KANKER,748941,48.0,985.6,346.9,1355.9108,919.7810000000001,6.409049578004142,13159.915133501838,4631.873538770076,18104.374042815125,1.2281087562304642
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,343709,47.0,2369.3,727.3,,,13.674358250729542,68933.31277330533,21160.342033522546,,
DAMAN AND DIU,DAMAN,DAMAN AND DIU,DAMAN,191173,27.0,1938.4,558.6,2383.127,339.674,14.123333315897119,101395.07147975916,29219.60737133382,124658.13687079243,1.7767885632385327
DAMAN AND DIU,DIU,DAMAN AND DIU,DIU,52074,13.0,1047.4,34.8,1344.8587,157.015,24.964473633675155,201136.84372239505,6682.797557322272,258259.1504397588,3.015228328916542
