snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,reporting_offices_total,deposits_total_million_rs,credit_total_million_rs,deposits_total_crore_rs,credit_total_crore_rs
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Madhepura,MADHEPURA,74.0,17611.0,5899.0,1761.1,589.9
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Madhubani,MADHUBANI,201.0,40638.0,10543.0,4063.8,1054.3
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Munger,MUNGER,91.0,32249.0,6304.0,3224.9,630.4
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Muzaffarpur,MUZAFFARPUR,273.0,87135.0,26920.0,8713.5,2692.0
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Nalanda,NALANDA,150.0,42732.0,11487.0,4273.2,1148.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Nawada,NAWADA,87.0,23023.0,6688.0,2302.3,668.8
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Paschimi Champaran,PASCHIMI CHAMPARAN,152.0,26628.0,12430.0,2662.8,1243.0
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Patna,PATNA,615.0,588176.0,146527.0,58817.6,14652.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Purbi Champaran,PURBI CHAMPARAN,201.0,41742.0,17990.0,4174.2,1799.0
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Purnia,PURNIA,133.0,29051.0,15474.0,2905.1,1547.4
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Rohtas,ROHTAS,145.0,42053.0,16070.0,4205.3,1607.0
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Saharsa,SAHARSA,76.0,18756.0,6375.0,1875.6,637.5
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Samastipur,SAMASTIPUR,198.0,48589.0,16538.0,4858.9,1653.8
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Saran,SARAN,176.0,61899.0,12277.0,6189.9,1227.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Sheikhpura,SHEIKHPURA,35.0,8210.0,2505.0,821.0,250.5
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Sheohar,SHEOHAR,27.0,3997.0,1522.0,399.7,152.2
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Sitamarhi,SITAMARHI,128.0,27093.0,9662.0,2709.3,966.2
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Siwan,SIWAN,163.0,54912.0,10090.0,5491.2,1009.0
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Supaul,SUPAUL,87.0,17665.0,6527.0,1766.5,652.7
2013-12,2013,12,EASTERN REGION,EASTERN REGION,BIHAR,BIHAR,Vaishali,VAISHALI,168.0,44820.0,12732.0,4482.0,1273.2
2013-12,2013,12,NORTHERN REGION,NORTHERN REGION,CHANDIGARH,CHANDIGARH,CHANDIGARH,CHANDIGARH,341.0,504136.0,577842.0,50413.6,57784.2
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Balod,BALOD,57.0,11270.0,2942.0,1127.0,294.2
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Balodabazar,BALODABAZAR,80.0,14670.0,6509.0,1467.0,650.9
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Balrampur,BALRAMPUR,34.0,7059.0,1449.0,705.9,144.9
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Bastar,BASTAR,63.0,17797.0,8172.0,1779.7,817.2
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Bemetara,BEMETARA,45.0,6479.0,2612.0,647.9,261.2
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Bijapur,BIJAPUR,12.0,3784.0,583.0,378.4,58.3
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Bilaspur,BILASPUR,160.0,172563.0,28558.0,17256.3,2855.8
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Dantewada,DANTEWADA,17.0,8132.0,8469.0,813.2,846.9
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Dhamtari,DHAMTARI,62.0,13039.0,5582.0,1303.9,558.2
